Timesteps,Temperature
1,24.18
2,24.18
3,24.19
4,24.29
5,24.19
6,24.03
7,24.25
8,24.18
9,24.19
10,24.23
11,24.25
12,24.36
13,24.3
14,24.24
15,24.14
16,24.11
17,24.26
18,24.39
19,24.24
20,24.23
21,24.31
22,24.07
23,24.21
24,24.31
25,24.35
26,24.22
27,24.3
28,24.29
29,24.35
30,24.13
31,24.33
32,24.08
33,23.95
34,24.2
35,24.16
36,24.38
37,24.35
38,24.13
39,24.38
40,24.16
41,24.27
42,24.25
43,24.3
44,24.39
45,24.37
46,24.33
47,24.37
48,24.35
49,24.22
50,24.21
51,24.25
52,24.36
53,24.28
54,24.59
55,24.21
56,24.18
57,24.41
58,24.49
59,24.38
60,24.42
61,24.49
62,24.31
63,24.16
64,24.26
65,24.44
66,24.16
67,24.34
68,24.37
69,24.3
70,24.43
71,24.41
72,24.62
73,24.42
74,24.27
75,24.28
76,24.25
77,24.47
78,24.29
79,24.35
80,24.45
81,24.28
82,24.33
83,24.15
84,24.24
85,24.3
86,24.42
87,24.52
88,24.37
89,24.41
90,24.4
91,24.51
92,24.49
93,24.42
94,24.27
95,24.5
96,24.44
97,24.54
98,24.39
99,24.63
100,24.36
101,24.59
102,24.42
103,24.34
104,24.27
105,24.39
106,24.58
107,24.51
108,24.5
109,24.13
110,24.51
111,24.49
112,24.36
113,24.35
114,24.43
115,24.64
116,24.31
117,24.38
118,24.6
119,24.38
120,24.4
121,24.45
122,24.3
123,24.47
124,24.3
125,24.56
126,24.45
127,24.73
128,24.49
129,24.62
130,24.3
131,24.45
132,24.5
133,24.68
134,24.27
135,24.59
136,24.54
137,24.66
138,24.56
139,24.48
140,24.42
141,24.33
142,24.51
143,24.46
144,24.73
145,24.42
146,24.53
147,24.31
148,24.45
149,24.53
150,24.6
151,24.68
152,24.5
153,24.37
154,24.56
155,24.57
156,24.57
157,24.43
158,24.65
159,24.53
160,24.6
161,24.67
162,24.6
163,24.56
164,24.79
165,24.56
166,24.5
167,24.55
168,24.71
169,24.55
170,24.6
171,24.69
172,24.48
173,24.34
174,24.58
175,24.58
176,24.48
177,24.66
178,24.63
179,24.44
180,24.62
181,24.54
182,24.39
183,24.62
184,24.56
185,24.48
186,24.63
187,24.63
188,24.51
189,24.63
190,24.7
191,24.5
192,24.63
193,24.59
194,24.86
195,24.37
196,24.68
197,24.56
198,24.58
199,24.83
200,24.6
201,24.87
202,24.55
203,24.65
204,24.55
205,24.53
206,24.62
207,24.58
208,24.64
209,24.37
210,24.86
211,24.6
212,24.83
213,24.51
214,24.66
215,25.01
216,24.53
217,24.45
218,24.57
219,24.69
220,24.72
221,24.8
222,24.61
223,24.45
224,24.6
225,24.8
226,24.71
227,24.42
228,24.65
229,24.83
230,24.92
231,24.73
232,24.7
233,24.52
234,24.57
235,24.68
236,24.73
237,24.74
238,24.62
239,24.54
240,24.59
241,24.54
242,24.76
243,24.41
244,24.65
245,24.74
246,24.87
247,24.7
248,24.82
249,24.65
250,24.61
251,24.62
252,24.89
253,24.83
254,24.77
255,25.11
256,24.71
257,24.79
258,24.75
259,24.69
260,25.0
261,24.9
262,24.56
263,24.68
264,24.78
265,24.82
266,24.57
267,24.46
268,24.51
269,24.73
270,24.73
271,24.78
272,24.65
273,24.6
274,24.51
275,24.79
276,24.8
277,24.87
278,24.85
279,24.74
280,24.92
281,24.75
282,24.68
283,24.7
284,24.7
285,24.51
286,24.79
287,24.8
288,24.73
289,24.69
290,24.82
291,24.99
292,24.79
293,24.73
294,24.72
295,24.78
296,24.64
297,24.78
298,24.8
299,25.02
300,24.91
301,24.59
302,24.45
303,24.58
304,24.45
305,24.59
306,24.63
307,24.57
308,24.83
309,24.76
310,24.61
311,24.86
312,24.84
313,24.94
314,25.04
315,25.11
316,24.99
317,25.14
318,25.37
319,25.5
320,25.64
321,25.73
322,25.51
323,25.84
324,25.73
325,26.11
326,26.11
327,26.11
328,26.48
329,26.48
330,26.4
331,26.7
332,26.74
333,26.93
334,27.01
335,27.29
336,27.19
337,27.46
338,27.72
339,27.64
340,27.86
341,28.0
342,28.06
343,28.31
344,28.41
345,28.46
346,28.82
347,28.89
348,28.95
349,29.06
350,29.19
351,29.49
352,29.52
353,29.71
354,29.8
355,30.01
356,30.09
357,30.3
358,30.37
359,30.59
360,30.71
361,30.78
362,30.86
363,30.99
364,31.13
365,31.24
366,31.52
367,31.58
368,31.83
369,32.01
370,31.95
371,31.94
372,32.15
373,32.29
374,32.29
375,32.5
376,32.64
377,32.69
378,32.76
379,32.86
380,33.15
381,33.09
382,33.12
383,33.24
384,33.42
385,33.37
386,33.53
387,33.62
388,33.68
389,33.79
390,33.69
391,33.87
392,33.76
393,33.84
394,34.0
395,34.0
396,33.96
397,33.88
398,34.03
399,33.95
400,33.93
401,33.91
402,34.0
403,33.7
404,33.98
405,33.95
406,33.84
407,34.02
408,33.95
409,33.79
410,33.77
411,33.92
412,33.64
413,33.77
414,33.72
415,33.79
416,33.79
417,33.75
418,33.87
419,33.75
420,33.67
421,33.54
422,33.76
423,33.72
424,33.82
425,33.54
426,33.62
427,33.6
428,33.58
429,33.58
430,33.36
431,33.65
432,33.61
433,33.66
434,33.78
435,33.45
436,33.47
437,33.47
438,33.68
439,33.23
440,33.48
441,33.23
442,33.09
443,33.14
444,33.2
445,33.48
446,33.24
447,33.3
448,33.18
449,33.37
450,33.16
451,33.43
452,33.14
453,33.16
454,33.25
455,33.22
456,33.38
457,33.21
458,33.04
459,33.1
460,33.09
461,33.23
462,33.18
463,33.1
464,33.21
465,33.03
466,33.06
467,33.09
468,33.24
469,33.03
470,32.99
471,32.89
472,33.08
473,32.92
474,33.02
475,32.74
476,33.08
477,32.78
478,32.83
479,33.04
480,32.74
481,32.88
482,32.89
483,32.75
484,33.01
485,33.02
486,32.59
487,32.64
488,32.9
489,32.64
490,32.73
491,32.78
492,32.84
493,32.72
494,32.74
495,32.63
496,32.86
497,32.64
498,32.73
499,32.61
500,32.67
501,32.63
502,32.62
503,32.5
504,32.71
505,32.77
506,32.62
507,32.67
508,32.67
509,32.67
510,32.58
511,32.56
512,32.63
513,32.52
514,32.38
515,32.49
516,32.25
517,32.46
518,32.5
519,32.59
520,32.45
521,32.53
522,32.41
523,32.28
524,32.22
525,32.26
526,32.2
527,32.43
528,32.32
529,32.4
530,32.33
531,32.44
532,32.43
533,32.21
534,32.24
535,32.2
536,32.06
537,32.33
538,32.38
539,32.22
540,32.15
541,32.33
542,31.91
543,32.2
544,32.19
545,32.09
546,32.32
547,32.26
548,32.1
549,32.11
550,32.06
551,32.04
552,31.93
553,32.24
554,32.19
555,32.15
556,31.91
557,32.29
558,32.26
559,32.04
560,31.9
561,31.89
562,32.04
563,31.87
564,31.96
565,32.09
566,31.76
567,32.18
568,32.11
569,31.77
570,31.74
571,31.86
572,31.76
573,31.84
574,31.56
575,31.83
576,32.06
577,31.7
578,31.79
579,31.64
580,31.88
581,31.77
582,32.02
583,31.8
584,31.73
585,31.83
586,31.69
587,31.58
588,31.77
589,31.7
590,31.73
591,31.75
592,31.63
593,31.74
594,31.88
595,31.53
596,31.87
597,31.62
598,31.55
599,31.92
600,31.64
601,31.6
602,31.41
603,31.15
604,30.91
605,30.6
606,30.28
607,29.99
608,29.9
609,29.38
610,29.25
611,28.96
612,28.79
613,28.48
614,28.22
615,28.06
616,27.93
617,27.86
618,28.12
619,28.1
620,28.14
621,28.06
622,27.91
623,28.14
624,27.95
625,28.02
626,27.93
627,28.25
628,28.6
629,28.9
630,29.14
631,29.5
632,29.71
633,29.87
634,30.31
635,30.44
636,30.86
637,30.95
638,31.09
639,31.15
640,31.33
641,31.58
642,31.6
643,31.75
644,31.86
645,32.1
646,32.11
647,32.4
648,32.39
649,32.52
650,32.77
651,32.9
652,33.06
653,33.26
654,33.29
655,33.5
656,33.53
657,33.84
658,33.93
659,34.06
660,34.17
661,34.23
662,34.4
663,34.6
664,34.69
665,34.83
666,34.84
667,35.09
668,35.15
669,35.24
670,35.44
671,35.42
672,35.74
673,35.86
674,35.9
675,35.94
676,36.05
677,36.21
678,36.13
679,36.43
680,36.57
681,36.58
682,36.65
683,36.78
684,36.88
685,37.01
686,37.0
687,37.0
688,37.09
689,37.19
690,37.36
691,37.26
692,37.24
693,37.3
694,37.23
695,37.46
696,37.35
697,37.38
698,37.33
699,37.41
700,37.55
701,37.33
702,37.26
703,37.48
704,37.4
705,37.48
706,37.5
707,37.39
708,37.22
709,37.35
710,37.41
711,37.27
712,37.15
713,37.44
714,37.24
715,37.23
716,37.26
717,37.37
718,37.27
719,37.18
720,37.29
721,37.45
722,37.34
723,37.24
724,37.01
725,37.58
726,36.97
727,37.06
728,37.01
729,37.27
730,37.11
731,36.88
732,37.07
733,37.09
734,36.97
735,36.85
736,36.89
737,36.91
738,36.95
739,36.87
740,37.01
741,36.8
742,36.69
743,36.79
744,37.03
745,36.79
746,37.12
747,36.89
748,36.68
749,36.7
750,36.82
751,36.63
752,37.05
753,36.63
754,36.82
755,36.9
756,36.7
757,36.58
758,36.65
759,36.71
760,36.76
761,36.65
762,36.46
763,36.62
764,36.52
765,36.33
766,36.5
767,36.39
768,36.62
769,36.77
770,36.75
771,36.45
772,36.45
773,36.57
774,36.6
775,36.41
776,36.44
777,36.7
778,36.41
779,36.36
780,36.42
781,36.46
782,36.26
783,36.34
784,36.21
785,36.31
786,36.55
787,36.41
788,36.29
789,36.18
790,36.24
791,36.39
792,36.19
793,36.42
794,36.07
795,36.19
796,36.42
797,35.96
798,36.33
799,35.95
800,36.15
801,36.13
802,36.24
803,35.75
804,35.88
805,36.03
806,36.1
807,35.97
808,36.04
809,35.91
810,36.0
811,35.93
812,36.05
813,36.08
814,36.17
815,35.91
816,35.94
817,35.97
818,35.92
819,35.94
820,35.74
821,35.96
822,35.8
823,35.78
824,35.7
825,36.02
